,TICKER,DATE,PX_TO_BOOK_RATIO,PE_RATIO,EQY_WEIGHTED_AVG_PX,FNCL_LVRG,NET_DEBT_TO_SHRHLDR_EQTY
0,C US Equity,9/30/2003,1.6727,10.2084,306.411,12.8601,481.5031
1,C US Equity,10/31/2003,1.7551,10.7111,321.2651,,
2,C US Equity,11/28/2003,1.7414,10.6275,318.3881,,
3,C US Equity,11/30/2003,,,,,
4,C US Equity,12/31/2003,1.7456,9.5616,326.9554,12.9458,497.8574
5,C US Equity,1/30/2004,1.794,9.8266,336.0558,,
6,C US Equity,2/27/2004,1.8222,9.9815,341.544,,
7,C US Equity,2/29/2004,,,,,
8,C US Equity,3/31/2004,1.8076,9.8926,352.7182,13.0617,555.9636
9,C US Equity,4/30/2004,1.6953,9.2784,331.5194,,
10,C US Equity,5/28/2004,,,,,
11,C US Equity,5/31/2004,1.6368,8.9582,318.8632,,
12,C US Equity,6/30/2004,1.7024,8.4945,318.9528,13.7117,618.1363
13,C US Equity,7/30/2004,1.629,8.1279,305.5491,,
14,C US Equity,8/27/2004,,,,,
15,C US Equity,8/31/2004,1.721,8.5869,321.7225,,
16,C US Equity,9/30/2004,1.5523,8.0057,306.2415,14.2063,410.6718
17,C US Equity,10/29/2004,1.5755,8.125,310.0856,,
18,C US Equity,11/26/2004,,,,,
19,C US Equity,11/30/2004,1.589,8.1946,313.3667,,
20,C US Equity,12/31/2004,1.6186,8.6639,336.6847,13.881,582.2721
21,C US Equity,1/31/2005,1.6478,8.8204,343.3944,,
22,C US Equity,2/25/2005,,,,,
23,C US Equity,2/28/2005,1.6174,8.6579,337.9428,,
24,C US Equity,3/31/2005,1.5081,7.9492,317.5227,13.6687,574.6698
25,C US Equity,4/29/2005,1.5907,8.3849,330.7182,,
26,C US Equity,5/27/2005,,,,,
27,C US Equity,5/31/2005,1.5958,8.4117,336.168,,
28,C US Equity,6/30/2005,1.5216,8.5105,331.4575,13.7251,606.4996
29,C US Equity,7/29/2005,1.446,8.0881,313.9388,,
30,C US Equity,8/26/2005,,,,,
31,C US Equity,8/31/2005,1.455,8.1383,312.7775,,
32,C US Equity,9/30/2005,1.4967,8.4419,327.4737,13.5681,612.9921
33,C US Equity,10/31/2005,1.5053,8.4901,330.8503,,
34,C US Equity,11/25/2005,,,,,
35,C US Equity,11/30/2005,1.6119,9.0916,354.7532,,
36,C US Equity,12/30/2005,1.5762,9.0879,352.1301,,
37,C US Equity,12/31/2005,,,,13.3566,617.8332
38,C US Equity,1/31/2006,1.5129,8.7227,339.5089,,
39,C US Equity,2/24/2006,,,,,
40,C US Equity,2/28/2006,1.5221,8.7762,341.2853,,
41,C US Equity,3/31/2006,1.5202,8.8028,347.6833,13.7003,658.6219
42,C US Equity,4/28/2006,1.6244,9.4063,368.1878,,
43,C US Equity,5/26/2006,,,,,
44,C US Equity,5/31/2006,1.6033,9.2839,365.0066,,
45,C US Equity,6/30/2006,1.5467,8.7744,359.1959,14.1005,667.3199
46,C US Equity,7/31/2006,1.5487,8.7853,358.8735,,
47,C US Equity,8/25/2006,,,,,
48,C US Equity,8/31/2006,1.5981,9.0656,370.1848,,
49,C US Equity,9/29/2006,1.5653,8.9275,373.3773,,
50,C US Equity,9/30/2006,,,,14.5824,733.2516
51,C US Equity,10/31/2006,1.5807,9.0155,376.5893,,
52,C US Equity,11/24/2006,,,,,
53,C US Equity,11/30/2006,1.5782,9.0011,375.6571,,
54,C US Equity,12/29/2006,1.7434,9.9904,422.624,,
55,C US Equity,12/31/2006,,,,15.2211,488.7446
56,C US Equity,1/31/2007,1.7256,9.8882,414.142,,
57,C US Equity,2/23/2007,,,,,
58,C US Equity,2/28/2007,1.5922,9.1238,385.3318,,
59,C US Equity,3/30/2007,1.6032,9.0842,392.723,,
60,C US Equity,3/31/2007,,,,16.0987,863.1996
61,C US Equity,4/30/2007,1.6744,9.4876,413.1545,,
62,C US Equity,5/25/2007,,,,,
63,C US Equity,5/31/2007,1.7186,9.7384,421.4822,,
64,C US Equity,6/29/2007,1.5492,8.7999,396.8876,,
65,C US Equity,6/30/2007,,,,17.0878,927.7549
66,C US Equity,7/31/2007,1.4066,7.99,365.3958,,
67,C US Equity,8/31/2007,1.4325,8.137,365.771,,
68,C US Equity,9/28/2007,1.4307,9.4437,364.4454,,
69,C US Equity,9/30/2007,,,,18.0233,1000.2329
70,C US Equity,10/31/2007,1.2845,8.4785,327.4754,,
71,C US Equity,11/30/2007,1.0342,6.8262,264.4014,,
72,C US Equity,12/31/2007,1.0256,29.1187,231.3619,18.6736,733.9145
73,C US Equity,1/31/2008,0.9927,28.1861,223.6433,,
74,C US Equity,2/29/2008,0.8356,23.7235,193.0173,,
75,C US Equity,3/31/2008,0.8271,20.8419,169.3741,19.4796,677.0128
76,C US Equity,4/30/2008,0.9757,,203.7631,,
77,C US Equity,5/30/2008,0.856,,179.1656,,
78,C US Equity,5/31/2008,,,,,
79,C US Equity,6/30/2008,0.6789,,136.1006,19.7425,586.0394
80,C US Equity,7/31/2008,0.7702,,153.8097,,
81,C US Equity,8/29/2008,0.7826,,155.9683,,
82,C US Equity,8/31/2008,,,,,
